Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,,,,,,,,
2011. 5. 24 오후 3:30:00,2052.44,2070.64,2048.55,2061.76,268517,,,,,,,,,,,,,,,,,,,,
2011. 5. 25 오후 3:30:00,2073.53,2082.12,2030.68,2035.87,344973,,,,,,,,,,,,,,,,,,,,
2011. 5. 26 오후 3:30:00,2059.93,2094.35,2056.49,2091.91,296695,,,,,,,,,,,,,,,,,,,,
2011. 5. 27 오후 3:30:00,2087.36,2111.36,2085.24,2100.24,272782,,,,,,,,,,,,,,,,,,,,
2011. 5. 30 오후 3:30:00,2115.27,2116.13,2085.75,2093.79,213193,,,,,,,,,,,,,,,,,,,,
2011. 5. 31 오후 3:30:00,2104.16,2146.79,2102.77,2142.47,303263,,,,,,,,,,,,,,,,,,,,
2011. 6. 1 오후 3:30:00,2142.67,2152.95,2132.85,2141.34,294707,,,,,,,,,,,,,,,,,,,,
2011. 6. 2 오후 3:30:00,2098.37,2126.8,2093.97,2114.2,248778,,,,,,,,,,,,,,,,,,,,
2011. 6. 3 오후 3:30:00,2123.47,2131.93,2108.75,2113.47,264107,,,,,,,,,,,,,,,,,,,,
2011. 6. 7 오후 3:30:00,2093.45,2106.85,2091.26,2099.71,246620,,,,,,,,,,,,,,,,,,,,
2011. 6. 8 오후 3:30:00,2102.97,2109.11,2068.78,2083.35,281368,,,,,,,,,,,,,,,,,,,,
2011. 6. 9 오후 3:30:00,2076.7,2088.82,2067.58,2071.42,283662,,,,,,,,,,,,,,,,,,,,
2011. 6. 10 오후 3:30:00,2085.85,2093.94,2045.24,2046.67,265874,,,,,,,,,,,,,,,,,,,,
2011. 6. 13 오후 3:30:00,2030.54,2057.65,2025.42,2048.74,218484,,,,,,,,,,,,,,,,,,,,
2011. 6. 14 오후 3:30:00,2045.22,2082.25,2040.69,2076.83,209519,,,,,,,,,,,,,,,,,,,,
2011. 6. 15 오후 3:30:00,2087.96,2091,2064.82,2086.53,229155,,,,,,,,,,,,,,,,,,,,
2011. 6. 16 오후 3:30:00,2057.16,2068.17,2043.81,2046.63,234157,,,,,,,,,,,,,,,,,,,,
2011. 6. 17 오후 3:30:00,2057.46,2058.67,2008.84,2031.93,282482,,,,,,,,,,,,,,,,,,,,
2011. 6. 20 오후 3:30:00,2034.35,2047.12,2017.52,2019.65,229183,,,,,,,,,,,,,,,,,,,,
2011. 6. 21 오후 3:30:00,2041.15,2051.19,2015.86,2048.17,278609,,,,,,,,,,,,,,,,,,,,
2011. 6. 22 오후 3:30:00,2066.91,2074.46,2059.36,2063.9,263839,,,,,,,,,,,,,,,,,,,,
2011. 6. 23 오후 3:30:00,2048.06,2064.96,2048.06,2055.86,259637,,,,,,,,,,,,,,,,,,,,
2011. 6. 24 오후 3:30:00,2063.92,2090.82,2062.26,2090.81,294101,,,,,,,,,,,,,,,,,,,,
2011. 6. 27 오후 3:30:00,2076.01,2076.94,2058.4,2070.29,246532,,,,,,,,,,,,,,,,,,,,
2011. 6. 28 오후 3:30:00,2092.94,2099.94,2062.91,2062.91,328640,,,,,,,,,,,,,,,,,,,,
2011. 6. 29 오후 3:30:00,2097.87,2098.95,2081.71,2094.42,256146,,,,,,,,,,,,,,,,,,,,
2011. 6. 30 오후 3:30:00,2103.59,2105.47,2091.09,2100.69,257291,,,,,,,,,,,,,,,,,,,,
2011. 7. 1 오후 3:30:00,2120.03,2131.67,2116.68,2125.74,273414,,,,,,,,,,,,,,,,,,,,
2011. 7. 4 오후 3:30:00,2143.24,2153.29,2141.98,2145.3,290459,,,,,,,,,,,,,,,,,,,,
2011. 7. 5 오후 3:30:00,2149.4,2163.37,2145.87,2161.75,284884,,,,,,,,,,,,,,,,,,,,
2011. 7. 6 오후 3:30:00,2156.94,2171.19,2155.33,2171.19,275939,,,,,,,,,,,,,,,,,,,,
2011. 7. 7 오후 3:30:00,2167.18,2184.94,2165.15,2180.59,355587,,,,,,,,,,,,,,,,,,,,
2011. 7. 8 오후 3:30:00,2192.83,2192.83,2173.96,2180.35,323023,,,,,,,,,,,,,,,,,,,,
2011. 7. 11 오후 3:30:00,2167.94,2171.29,2151.84,2157.16,240690,,,,,,,,,,,,,,,,,,,,
2011. 7. 12 오후 3:30:00,2131.07,2136.98,2107.95,2109.73,286417,,,,,,,,,,,,,,,,,,,,
2011. 7. 13 오후 3:30:00,2117.12,2129.64,2107.63,2129.64,306086,,,,,,,,,,,,,,,,,,,,
2011. 7. 14 오후 3:30:00,2119.06,2130.08,2105.24,2130.07,307417,,,,,,,,,,,,,,,,,,,,
2011. 7. 15 오후 3:30:00,2123.57,2145.2,2123,2145.2,272102,,,,,,,,,,,,,,,,,,,,
2011. 7. 18 오후 3:30:00,2149.97,2149.97,2121.73,2130.48,329000,,,,,,,,,,,,,,,,,,,,
2011. 7. 19 오후 3:30:00,2127.13,2140.44,2123.43,2130.21,303460,,,,,,,,,,,,,,,,,,,,
2011. 7. 20 오후 3:30:00,2158.88,2164.22,2149.25,2154.95,373913,,,,,,,,,,,,,,,,,,,,
2011. 7. 21 오후 3:30:00,2153.94,2155.49,2135.66,2145.04,362339,,,,,,,,,,,,,,,,,,,,
2011. 7. 22 오후 3:30:00,2162,2171.24,2153.49,2171.23,412963,,,,,,,,,,,,,,,,,,,,
2011. 7. 25 오후 3:30:00,2154,2158.35,2146.99,2150.48,341968,,,,,,,,,,,,,,,,,,,,
2011. 7. 26 오후 3:30:00,2163.08,2168.7,2148.22,2168.7,330150,,,,,,,,,,,,,,,,,,,,
2011. 7. 27 오후 3:30:00,2152.66,2174.73,2151.84,2174.31,297092,,,,,,,,,,,,,,,,,,,,
2011. 7. 28 오후 3:30:00,2138.61,2160.44,2138.61,2155.85,299515,,,,,,,,,,,,,,,,,,,,
2011. 7. 29 오후 3:30:00,2159.27,2159.27,2133.21,2133.21,328774,,,,,,,,,,,,,,,,,,,,
2011. 8. 1 오후 3:30:00,2160.09,2173.28,2158.24,2172.31,262845,,,,,,,,,,,,,,,,,,,,
2011. 8. 2 오후 3:30:00,2152.85,2155.44,2114.75,2121.27,350312,,,,,,,,,,,,,,,,,,,,
2011. 8. 3 오후 3:30:00,2079.19,2080.76,2056.53,2066.26,434482,,,,,,,,,,,,,,,,,,,,
2011. 8. 4 오후 3:30:00,2067.17,2071.03,2015.23,2018.47,356390,,,,,,,,,,,,,,,,,,,,
2011. 8. 5 오후 3:30:00,1937.17,1966.73,1920.67,1943.75,480967,,,,,,,,,,,,,,,,,,,,
2011. 8. 8 오후 3:30:00,1916.57,1939.92,1800,1869.45,571105,,,,,,,,,,,,,,,,,,,,
2011. 8. 9 오후 3:30:00,1807.88,1828.63,1684.68,1801.35,684990,,,,,,,,,,,,,,,,,,,,
2011. 8. 10 오후 3:30:00,1877.4,1877.4,1802.29,1806.24,486308,,,,,,,,,,,,,,,,,,,,
2011. 8. 11 오후 3:30:00,1733.92,1832.48,1733.92,1817.44,438895,,,,,,,,,,,,,,,,,,,,
2011. 8. 12 오후 3:30:00,1844.13,1847.12,1788.97,1793.31,468854,,,,,,,,,,,,,,,,,,,,
2011. 8. 16 오후 3:30:00,1850.53,1879.87,1848.82,1879.87,423449,,,,,,,,,,,,,,,,,,,,
2011. 8. 17 오후 3:30:00,1868.85,1906.61,1868.6,1892.67,430980,,,,,,,,,,,,,,,,,,,,
2011. 8. 18 오후 3:30:00,1869.71,1873.58,1833.34,1860.58,503353,,,,,,,,,,,,,,,,,,,,
2011. 8. 19 오후 3:30:00,1789.78,1797.18,1744.86,1744.88,503835,,,,,,,,,,,,,,,,,,,,
2011. 8. 22 오후 3:30:00,1756.59,1763.64,1704.54,1710.7,420268,,,,,,,,,,,,,,,,,,,,
2011. 8. 23 오후 3:30:00,1735.23,1781.92,1719.97,1776.68,428457,,,,,,,,,,,,,,,,,,,,
